board,video,proto,cipher,avg_fps,cpu_pct,gpu_pct,mem_pct,gpu_mem_pct,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,note
jetson_orin_nano,NoVideo,https,aesgcm,0.000,15.31,0.00,77.61,0.00,5.962,8.031,11.082,
jetson_orin_nano,NoVideo,dtls,aesgcm,0.000,11.06,0.00,77.91,0.00,4.239,6.113,18.111,
jetson_orin_nano,NoVideo,mqtt,aesgcm,0.000,12.08,0.00,78.10,0.00,14.216,15.771,55.562,
jetson_orin_nano,NoVideo,http3,aesgcm,0.000,12.96,0.00,78.32,0.00,3.786,4.871,7.516,
