board,video,proto,cipher,avg_fps,cpu_pct,gpu_pct,mem_pct,gpu_mem_pct,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms,note
jetson_orin_nano,NoVideo,https,aesgcm,0.000,4.03,0.00,76.91,0.00,5.608,8.253,11.768,
jetson_orin_nano,NoVideo,dtls,aesgcm,0.000,1.61,0.00,76.58,0.00,9.685,12.577,12.834,
jetson_orin_nano,NoVideo,mqtt,aesgcm,0.000,2.20,0.00,76.40,0.00,4.605,7.155,16.864,
jetson_orin_nano,NoVideo,http3,aesgcm,0.000,1.66,0.00,76.41,0.00,3.931,9.065,24.112,
